Resort name and website, Nearest city, State/province, Peak elevation (ft), Base elevation (ft), Vertical drop (ft), Skiable acreage, Total trails, Total lifts, Avg annual snowfall (in), Adult weekend lift ticket window price (USD), Date statistics updated
Cottonwood Butte, Cottonwood, Idaho, 5 730, 4 885, 845, 260, 7, 2, 45, $20, September 28  2019[177]
Bald Mountain, Pierce, Idaho, 4 800, 4 000, 800, 140, 16, 2, 100, $20, September 28  2019[178]
Silver Mountain, Coeur d'Alene, Idaho, 6 297, 4 100, 2 197, 1 600, 67, 8, 300, $58, September 28  2019[179]
Mohawk Mountain, Cornwall, Connecticut, 1 600, 960, 640, 107, 25, 8, 24, $67, September 28  2019[180]
Powder Ridge, Middlefield, Connecticut, 803, 377, 426, 80, 19, 7, 60, $49, September 28  2019[181]
Ski Sundown, Hartford, Connecticut, 1075, 450, 625, 70, 16, 5, 45, $62, September 28  2019[182]
Mount Southington, Waterbury, Connecticut, 525, 100, 425, 51, 14, 7, 80, $62, September 28  2019[183]
Yawgoo Valley, Exeter, Rhode Island, 310, 70, 240, 36, 14, 3, 39, $50, September 28  2019[184]
Frost Fire, Walhalla, North Dakota, 1 400, 1 070, 330, , 10, 3, , $23, September 28  2019[185]
Hidden Valley, Wildwood, Missouri, 860, 540, 320, 65, 17, 9, 19, $49, September 28  2019[186]
Snow Creek, Weston, Missouri, 1 099, 799, 300, 25, 12, 5, 20, $47, September 28  2019[187]
Ober Gatlinburg, Gatlinburg, Tennessee, 3 300, 2 700, 600, 38, 10, 4, 9, $65, September 28  2019[188]
Paoli Peaks, Paoili, Indiana, 900, 600, 300, 65, 17, 8, 18, $45, September 28  2019[189]
Perfect North Slopes, Lawrenceburg, Indiana, 800, 400, 400, 100, 23, 11, 23, $52, September 28  2019[190]
Alpine Valley, Chesterland, Ohio, 1 500, 1 260, 240, 72, 11, 5, 120, $44, September 28  2019[191]
Boston Mills/Brandywine, Peninsula, Ohio, 871, 531, 240, 79, 18, 16, 54, $44, September 28  2019[192]
Mad River, Bellafontaine, Ohio, 1 460, 1 160, 300, 144, 23, 12, 36, $49, September 28  2019[193]
Snow Trails, Mansfield, Ohio, 1 475, 1 175, 300, 80, 17, 7, 52, $52, September 28  2019[194]
Big Creek, Concord, Ohio, 1 466, 1 292, 174, 23, 5, 2, 102, Private Club, September 28  2019
Wisp Ski Resort, McHenry, Maryland, 3 115, 2 145, 700, 132, 34, 12, 100, $49, September 28  2019[195]
Campgaw Mountain, Mahwah, New Jersey, 726, 450, 276, 23, 12, 5, 45, $41, September 28  2019[196]
Mountain Creek, Vernon, New Jersey, 1 490, 450, 1 040, 167, 46, 9, 65, $80, September 28  2019[197]
Big Rock, Presque Isle, Maine, 1 590, 670, 920, 60, 27, 3, 100, $40, September 29  2019[198]
Big Squaw Mountain, Greenville, Maine, 2 920, 1 300, 1 620, 1 216, 33, 1, 136, $30, September 29  2019[199]
