XEP, Description, Status, ejabberd, iChat Server, jabberd14, jabberd2, Metronome, Isode M-Link, MongooseIM, Openfire, Prosody, Tigase
0168, Resource Application Priority, {{okay|Deferred}}, {{unk}}, {{unk}}, {{unk}}, {{No}}[17], {{No}}[18], {{No}}, {{No}}, {{unk}}, {{No}}[20], {{No}}
0170, Recommended Order of Stream Feature Negotiation, {{Yes|Approved}}, {{Yes}}[8][38], {{Yes}}[8], {{Yes}}[2], {{Yes}}[17], {{Yes}}[18], {{No}}, {{Yes}}, {{unk}}, {{Yes}}[20], {{Yes}}[6]
0171, Language Translation, {{nightly|Draft}}, {{unk}}, {{unk}}, {{unk}}, {{No}}[17], {{No}}[18], {{No}}, {{No}}, {{unk}}, {{Yes}}[20], {{No}}
0172, User Nickname, {{nightly|Draft}}, {{No}}[8], {{unk}}, {{unk}}, {{No}}[17], {{Yes}}[18], {{No}}, {{No}}, {{unk}}, {{Yes}}[20], {{Yes}}[6]
0175, Best Practices for Use of SASL ANONYMOUS, {{Yes|Approved}}, {{Yes}}[8], {{unk}}, {{unk}}, {{Yes}}[17], {{Yes}}[18], {{No}}, {{Yes}}, {{Yes}}[5], {{Yes}}[20], {{Yes}}[6]
0176, Jingle ICE-UDP Transport Method, {{nightly|Draft}}, {{Yes}}[8], {{unk}}, {{unk}}, {{No}}[17], {{unk}}, {{No}}, {{No}}, {{unk}}, {{Yes}}[20], {{Yes}}[6]
0178, Best Practices for Use of SASL EXTERNAL with Certificates, {{Yes|Approved}}, {{No}}[8], {{unk}}, {{Yes}}[2], {{Yes}}[17], {{Yes}}[18], {{No}}, {{No}}, {{unk}}, {{Yes}}[20], {{Yes}}[6]
0182, Application-Specific Error Conditions, {{Yes|Approved}}, {{unk}}, {{unk}}, {{unk}}, {{No}}[17], {{Yes}}[18], {{No}}, {{unk}}, {{unk}}, {{Yes}}[20], {{No}}
XEP, Description, Status, ejabberd, iChat Server, jabberd14, jabberd2, Metronome, Isode M-Link, MongooseIM, Openfire, Prosody, Tigase
0184, Message Delivery Receipts, {{nightly|Draft}}, {{No}}[8], {{unk}}, {{unk}}[2], {{unk}}[17], {{unk}}, {{No}}, {{Yes}}, {{unk}}, {{Yes}}[20], {{Yes}}[6]
